Repo Owner,Repo,Issue Title,URL,Opened By,Issue Created At,Reaction At,Reaction Type,Reaction By
PipedreamHQ,roadmap,"Improved debugging experience, like I can get in a local debugger",https://api.github.com/repos/PipedreamHQ/roadmap/issues/135,dylburger,11/25/2019,11/25/2019,1,antoinereyt
PipedreamHQ,roadmap,"I want to create my own OAuth app, while still have Pipedream manage the authorization / token refresh process",https://api.github.com/repos/PipedreamHQ/roadmap/issues/133,dylburger,11/22/2019,11/22/2019,hooray,knrz
PipedreamHQ,roadmap,Upgrade to Node v12,https://api.github.com/repos/PipedreamHQ/roadmap/issues/131,dylburger,11/21/2019,11/21/2019,1,dylburger
PipedreamHQ,roadmap,Upgrade to Node v12,https://api.github.com/repos/PipedreamHQ/roadmap/issues/131,dylburger,11/21/2019,11/21/2019,1,knrz
PipedreamHQ,roadmap,Improve the interface for sharing complex data between steps / setting workflow-scoped variables,https://api.github.com/repos/PipedreamHQ/roadmap/issues/118,dylburger,11/19/2019,11/19/2019,1,knrz
PipedreamHQ,roadmap,Improve the interface for sharing complex data between steps / setting workflow-scoped variables,https://api.github.com/repos/PipedreamHQ/roadmap/issues/118,dylburger,11/19/2019,11/21/2019,1,jonlutz79
PipedreamHQ,roadmap,[APP] android,https://api.github.com/repos/PipedreamHQ/roadmap/issues/116,casret,11/19/2019,11/19/2019,1,ahilles107
PipedreamHQ,roadmap,[APP] Sentry: add the option for a custom Sentry host (for on-prem users),https://api.github.com/repos/PipedreamHQ/roadmap/issues/103,dylburger,11/15/2019,11/19/2019,1,ahilles107
PipedreamHQ,roadmap,Sorting of env variables,https://api.github.com/repos/PipedreamHQ/roadmap/issues/100,muratmat,11/15/2019,11/17/2019,1,samwoolertonLW
PipedreamHQ,roadmap,"If I change the name of a step, I don't want to have to manually change it if I used it in other steps",https://api.github.com/repos/PipedreamHQ/roadmap/issues/94,psavkar,11/13/2019,11/14/2019,1,sauvegardezvous
PipedreamHQ,roadmap,"If I change the name of a step, I don't want to have to manually change it if I used it in other steps",https://api.github.com/repos/PipedreamHQ/roadmap/issues/94,psavkar,11/13/2019,11/17/2019,1,samwoolertonLW
PipedreamHQ,roadmap,I want to filter events in my inspector for a workflow so I can view all events that yielded an error,https://api.github.com/repos/PipedreamHQ/roadmap/issues/90,dylburger,11/09/2019,11/17/2019,1,samwoolertonLW
PipedreamHQ,roadmap,Rename a workflow while forking,https://api.github.com/repos/PipedreamHQ/roadmap/issues/89,dannyroosevelt,11/08/2019,11/08/2019,1,dylburger
PipedreamHQ,roadmap,I'd like a list of public IP addresses tied to traffic sent from my workflow,https://api.github.com/repos/PipedreamHQ/roadmap/issues/88,dylburger,11/05/2019,11/05/2019,1,dylburger
PipedreamHQ,roadmap,[APP] Amplitude,https://api.github.com/repos/PipedreamHQ/roadmap/issues/85,dylburger,11/01/2019,11/01/2019,1,yalelikeyale
PipedreamHQ,roadmap,[APP] Heap,https://api.github.com/repos/PipedreamHQ/roadmap/issues/84,dylburger,11/01/2019,11/01/2019,1,yalelikeyale
PipedreamHQ,roadmap,Autocomplete in action forms should work like it does in code steps,https://api.github.com/repos/PipedreamHQ/roadmap/issues/81,dylburger,10/30/2019,11/01/2019,1,jsendo
PipedreamHQ,roadmap,[ACTION] Cloudflare: update DNS record,https://api.github.com/repos/PipedreamHQ/roadmap/issues/77,dylburger,10/28/2019,10/28/2019,1,jswright61
PipedreamHQ,roadmap,[ACTION] Linode: update DNS record,https://api.github.com/repos/PipedreamHQ/roadmap/issues/76,dylburger,10/28/2019,10/28/2019,1,jswright61
PipedreamHQ,roadmap,[TRIGGER] Github,https://api.github.com/repos/PipedreamHQ/roadmap/issues/70,dylburger,10/26/2019,10/26/2019,1,dylburger
PipedreamHQ,roadmap,Allow me to select the OAuth scopes I'd like to allow for a specific connected account,https://api.github.com/repos/PipedreamHQ/roadmap/issues/69,dylburger,10/26/2019,10/26/2019,1,dylburger
PipedreamHQ,roadmap,"Delay Action: wait N { seconds, minutes, etc. } before running the next step",https://api.github.com/repos/PipedreamHQ/roadmap/issues/64,dylburger,10/25/2019,10/25/2019,1,dylburger
PipedreamHQ,roadmap,"Delay Action: wait N { seconds, minutes, etc. } before running the next step",https://api.github.com/repos/PipedreamHQ/roadmap/issues/64,dylburger,10/25/2019,11/14/2019,1,sauvegardezvous
PipedreamHQ,roadmap,"Delay Action: wait N { seconds, minutes, etc. } before running the next step",https://api.github.com/repos/PipedreamHQ/roadmap/issues/64,dylburger,10/25/2019,11/22/2019,1,antoinereyt
PipedreamHQ,roadmap,Unified log / API to retrieve all workflow executions + errors,https://api.github.com/repos/PipedreamHQ/roadmap/issues/63,dylburger,10/25/2019,10/25/2019,1,chrisborbidge
PipedreamHQ,roadmap,Unified log / API to retrieve all workflow executions + errors,https://api.github.com/repos/PipedreamHQ/roadmap/issues/63,dylburger,10/25/2019,11/22/2019,1,antoinereyt
